"","cluster_id","cougar_id","Season","Year","form_date","inv_date","carcass_found","species","sex","age","marrow_color","marrow_texture","body_cond","deer","pig","forest_dist","grass_dist","shrub_dist","riparian_dist","NDVI"
"3","SF9_C01","SF09","Summer",2021,2021-04-27,2021-05-03,"Y","deer","F","adult",2,2,4,4.44595003128052,0.39392676949501,4.79579067230225,6.1025185585022,0,4.11087369918823,0.564129650592804
"4","SF9_C03","SF09","Summer",2021,2021-05-01,2021-05-05,"Y","deer","UNK","neonate",0,0,0,2.96380472183228,1.11312890052795,0,5.62613201141357,3.43398714065552,5.93197727203369,0.518045246601105
"5","SF1_C01","SF01","Summer",2021,2021-05-02,2021-05-04,"Y","deer","F","adult",1,2,3,3.66671705245972,0.562965869903564,0,5.36191177368164,4.45263433456421,4.90648937225342,0.448889285326004
"7","SM6_C02","SM06","Summer",2021,2021-05-03,2021-05-07,"Y","deer","UNK","neonate",0,0,0,7.958420753479,1.90891325473785,3.43398714065552,3.43398714065552,0,5.96870756149292,0.391066402196884
"8","SF9_C05","SF09","Summer",2021,2021-05-04,2021-05-06,"Y","deer","F","adult",1,1,2,4.02328824996948,0.87197071313858,5.26317596435547,4.11087369918823,0,6.03751659393311,0.455568373203278
"10","SF9_C06","SF09","Summer",2021,2021-05-10,2021-05-11,"Y","deer","F","adult",2,2,4,8.83174228668213,2.28105783462524,3.43398714065552,4.11087369918823,0,6.17781257629395,0.395816802978516
"11","SF10_C01","SF10","Summer",2021,2021-05-14,2021-05-15,"Y","deer","UNK","neonate",1,1,2,3.79040694236755,1.18996071815491,3.43398714065552,3.43398714065552,0,5.80622100830078,0.347907334566116
"12","SF9_C07","SF09","Summer",2021,2021-05-14,2021-05-16,"Y","deer","UNK","neonate",1,1,2,3.98358416557312,1.13540196418762,0,5.46089315414429,3.43398714065552,5.17007780075073,0.446043848991394
"13","SF10_C03","SF10","Summer",2021,2021-05-17,2021-05-18,"Y","deer","UNK","neonate",0,0,0,3.23774909973145,0.477723896503448,3.43398714065552,4.51085948944092,0,7.06692552566528,0.404728949069977
"14","SF9_C08","SF09","Summer",2021,2021-05-18,2021-05-19,"Y","deer","UNK","neonate",0,0,0,14.8154668807983,3.9833037853241,5.35185813903809,3.43398714065552,0,3.43398714065552,0.386189490556717
"15","SF9_C09","SF09","Summer",2021,2021-05-19,2021-05-21,"Y","deer","F","adult",2,2,4,13.4536209106445,4.40477609634399,5.60823154449463,3.43398714065552,5.43578624725342,0,0.374765753746033
"16","SF9_C10","SF09","Summer",2021,2021-05-22,2021-05-23,"Y","deer","UNK","neonate",0,0,0,4.14821100234985,2.03537154197693,3.77106761932373,4.82585620880127,0,6.35832929611206,0.404938966035843
"17","SF1_C06","SF01","Summer",2021,2021-05-22,2021-05-23,"Y","deer","UNK","neonate",0,0,0,2.98939561843872,0.876340329647064,4.11087369918823,0,4.11087369918823,7.42857599258423,0.441102772951126
"18","SF1_C08","SF01","Summer",2021,2021-05-24,2021-05-27,"Y","deer","UNK","neonate",0,0,0,4.5107889175415,0.680328547954559,4.79579067230225,4.22071361541748,0,6.1025185585022,0.384386420249939
"20","SF9_C12","SF09","Summer",2021,2021-05-26,2021-05-29,"Y","deer","UNK","fawn",0,0,0,2.61741399765015,0.320634692907333,4.22071361541748,6.00015735626221,0,6.1114673614502,0.575577080249786
"21","SF1_C10","SF01","Summer",2021,2021-05-27,2021-05-30,"Y","deer","UNK","neonate",1,2,3,11.066481590271,2.35129189491272,4.85420894622803,5.03676176071167,4.22071361541748,0,0.487788259983063
"22","SM6_C06","SM06","Summer",2021,2021-05-28,2021-06-02,"Y","deer","F","adult",0,1,1,15.0107908248901,4.0973334312439,5.49251699447632,4.11087369918823,3.43398714065552,0,0.383870482444763
"23","SF1_C11","SF01","Summer",2021,2021-05-30,2021-06-01,"Y","deer","UNK","neonate",0,1,1,7.57708168029785,2.39112710952759,3.43398714065552,5.09101629257202,0,5.51498556137085,0.510856688022614
"24","SF9_C14","SF09","Summer",2021,2021-05-31,2021-06-03,"Y","deer","UNK","neonate",0,1,1,7.34448766708374,2.72000527381897,4.56297588348389,3.77106761932373,3.43398714065552,0,0.393213838338852
"25","SF9_C15","SF09","Summer",2021,2021-06-03,2021-06-07,"Y","deer","UNK","neonate",1,2,3,4.90115976333618,1.57499706745148,4.85420894622803,4.22071361541748,0,3.43398714065552,0.433324754238129
"26","SF9_C3.6","SF09","Summer",2021,2021-06-04,2021-06-08,"Y","deer","UNK","neonate",0,1,1,6.51469945907593,1.52108454704285,3.43398714065552,4.11087369918823,0,4.22071361541748,0.381969332695007
"27","SF9_C16","SF09","Summer",2021,2021-06-05,2021-06-07,"Y","deer","M","adult",2,2,4,10.9282522201538,2.7336266040802,5.09101629257202,0,4.22071361541748,5.35185813903809,0.3842493891716
"28","SF1_C13","SF01","Summer",2021,2021-06-05,2021-06-06,"Y","deer","UNK","neonate",0,0,0,4.41374158859253,0.789565980434418,4.45263433456421,4.56297588348389,0,5.36191177368164,0.532395720481873
"29","SF1_C14","SF01","Summer",2021,2021-06-06,2021-06-07,"Y","deer","UNK","neonate",0,1,1,3.81145119667053,0.237200438976288,0,6.18551874160767,3.43398714065552,4.11087369918823,0.605354189872742
"32","SF9_C18","SF09","Summer",2021,2021-06-13,2021-06-15,"Y","deer","F","adult",0,0,0,10.2852964401245,4.16525220870972,5.17007780075073,4.11087369918823,0,5.54345083236694,0.398262798786163
"33","SF1_C16","SF01","Summer",2021,2021-06-13,2021-06-17,"Y","deer","UNK","neonate",0,0,0,12.8079042434692,4.34785079956055,5.60211896896362,0,3.77106761932373,3.43398714065552,0.465910583734512
"34","SF9_C19","SF09","Summer",2021,2021-06-15,2021-06-20,"Y","deer","UNK","neonate",0,2,2,5.54196310043335,1.05034148693085,4.22071361541748,4.45263433456421,0,4.82585620880127,0.47112250328064
"35","SF9_C20","SF09","Summer",2021,2021-06-16,2021-06-19,"Y","deer","F","fawn",0,0,0,13.5132989883423,7.65864944458008,5.35185813903809,3.77106761932373,0,4.45263433456421,0.389545977115631
"36","SF9_C21","SF09","Summer",2021,2021-06-20,2021-06-23,"Y","deer","M","fawn",0,0,0,11.5201005935669,5.58242750167847,4.85420894622803,3.77106761932373,3.43398714065552,0,0.34133243560791
"37","SF9_C22","SF09","Summer",2021,2021-06-22,2021-06-24,"Y","deer","UNK","neonate",0,1,1,4.17759084701538,0.848621189594269,4.79579067230225,4.82585620880127,0,5.51498556137085,0.564370632171631
"38","SF1_C18","SF01","Summer",2021,2021-06-22,2021-06-27,"Y","deer","UNK","neonate",0,0,0,14.2564172744751,2.4515323638916,5.55032062530518,4.11087369918823,4.82585620880127,0,0.388104110956192
"40","SF9_C24","SF09","Summer",2021,2021-06-28,2021-07-01,"Y","deer","F","adult",1,1,2,12.9562749862671,3.26236534118652,5.01727962493896,4.11087369918823,4.11087369918823,0,0.374809503555298
"42","SF9_C26","SF09","Summer",2021,2021-07-02,2021-07-04,"Y","deer","UNK","neonate",0,0,0,13.5015544891357,3.3673369884491,6.13103437423706,4.11087369918823,0,3.43398714065552,0.371215850114822
"43","SF9_C27","SF09","Summer",2021,2021-07-03,2021-07-04,"Y","deer","UNK","neonate",0,0,0,14.0308055877686,4.96238279342651,5.8021183013916,4.11087369918823,5.36191177368164,0,0.360837310552597
"44","SF9_C28","SF09","Summer",2021,2021-07-04,2021-07-05,"Y","deer","UNK","neonate",1,2,3,4.79062652587891,2.33837389945984,3.77106761932373,4.79579067230225,0,5.13994073867798,0.422754794359207
"46","SF1_C22","SF01","Summer",2021,2021-07-06,2021-07-12,"Y","deer","UNK","neonate",1,2,3,13.7584238052368,4.78324556350708,5.75005912780762,4.51085948944092,3.43398714065552,0,0.454003036022186
"47","SF1_C24","SF01","Summer",2021,2021-07-10,2021-07-15,"Y","deer","UNK","neonate",0,1,1,13.1473093032837,6.87897443771362,6.57101154327393,3.43398714065552,4.69287443161011,0,0.35699862241745
"48","SF9_C31","SF09","Summer",2021,2021-07-11,2021-07-13,"Y","deer","UNK","neonate",1,2,3,15.330906867981,3.64394545555115,5.70711040496826,3.77106761932373,5.09101629257202,0,0.374215006828308
"49","SF1_C25","SF01","Summer",2021,2021-07-11,2021-07-15,"Y","deer","UNK","neonate",0,0,0,13.1519250869751,7.0859112739563,6.23636960983276,3.77106761932373,4.11087369918823,0,0.353621631860733
"50","SF9_C32-1","SF09","Summer",2021,2021-07-12,2021-07-14,"Y","deer","UNK","neonate",1,2,3,13.9547834396362,5.339599609375,5.01727962493896,4.45263433456421,4.22071361541748,0,0.391387403011322
"51","SF9_C32-2","SF09","Summer",2021,2021-07-14,2021-07-16,"Y","deer","F","adult",0,0,0,6.70041751861572,1.96603059768677,0,5.39091157913208,3.43398714065552,4.85420894622803,0.509929239749908
"53","SF1_C26","SF01","Summer",2021,2021-07-17,2021-07-22,"Y","deer","F","adult",0,0,0,3.39290261268616,0.508264541625977,5.01727962493896,0,3.43398714065552,7.21277713775635,0.401808351278305
"54","SF9_C34","SF09","Summer",2021,2021-07-17,2021-07-19,"Y","deer","UNK","neonate",1,1,2,4.53781652450562,1.34460258483887,3.43398714065552,4.69287443161011,0,5.69704246520996,0.513871371746063
"55","SF9_719day","SF09","Summer",2021,2021-07-19,2021-07-22,"Y","deer","UNK","neonate",0,1,1,13.6743783950806,3.92315196990967,5.01727962493896,3.43398714065552,3.43398714065552,0,0.403207361698151
"58","SF9_C41","SF09","Summer",2021,2021-07-30,2021-07-31,"Y","deer","M","adult",2,2,4,8.37267208099365,4.97852993011475,5.26317596435547,0,3.43398714065552,7.02598237991333,0.347129106521606
"59","SM6_C21","SM06","Summer",2021,2021-07-31,2021-08-01,"Y","deer","UNK","neonate",0,1,1,9.37134742736816,0.863682746887207,3.43398714065552,0,3.77106761932373,5.96870756149292,0.343327432870865
"60","SF9_W21-01","SF09","Winter",2021,2021-10-30,2021-11-02,"Y","deer","F","adult",1,1,2,13.0505294799805,6.41103887557983,0,4.22071361541748,3.43398714065552,5.54345083236694,0.527257561683655
"61","SF9_W21-03","SF09","Winter",2021,2021-11-04,2021-11-05,"Y","deer","M","adult",1,2,3,15.5295114517212,11.8432054519653,6.75701284408569,4.11087369918823,5.17007780075073,0,0.543550193309784
"62","SF9_W21-C04","SF09","Winter",2021,2021-11-08,2021-11-10,"Y","deer","F","adult",1,2,3,5.04143047332764,1.56187999248505,0,5.01727962493896,4.11087369918823,6.20977306365967,0.620342075824738
"63","SF9_W21-C05","SF09","Winter",2021,2021-11-16,2021-11-18,"Y","deer","UNK","adult",2,2,4,5.46999073028564,3.31703281402588,0,4.45263433456421,3.43398714065552,6.04517126083374,0.548727214336395
"64","SF1_W21-04","SF01","Winter",2021,2021-11-19,2021-11-22,"Y","deer","M","fawn",2,2,4,5.52252531051636,0.445859372615814,0,5.59593057632446,4.69287443161011,4.69287443161011,0.605036914348602
"65","SF9_W21-06","SF09","Winter",2021,2021-11-19,2021-11-22,"Y","deer","M","fawn",2,2,4,5.45203971862793,0.526222705841064,0,5.26317596435547,3.43398714065552,5.25089359283447,0.600548624992371
"66","SF9_W21-08","SF09","Winter",2021,2021-11-22,2021-11-25,"Y","deer","UNK","neonate",0,1,1,5.21548938751221,0.272842049598694,4.11087369918823,6.67225646972656,0,5.55032062530518,0.666980981826782
"67","SF9_W21-09","SF09","Winter",2021,2021-11-26,2021-11-30,"Y","deer","F","fawn",1,2,3,6.21378231048584,0.765708088874817,0,4.22071361541748,3.43398714065552,4.22071361541748,0.593133211135864
"68","SF9_W21-11","SF09","Winter",2021,2021-11-29,2021-12-01,"Y","deer","UNK","fawn",0,0,0,5.0618371963501,1.74410891532898,3.43398714065552,4.82585620880127,0,5.94141626358032,0.550654470920563
"69","SM6_W21-07","SM06","Winter",2021,2021-12-04,2021-12-16,"Y","deer","UNK","UNK",2,2,4,11.2421283721924,2.34393787384033,3.43398714065552,4.11087369918823,0,6.74530506134033,0.489930629730225
"70","SM6_W21-08","SM06","Winter",2021,2021-12-12,2021-12-16,"Y","deer","UNK","adult",0,2,2,12.0127458572388,7.50534296035767,4.45263433456421,0,3.43398714065552,6.1025185585022,0.535097301006317
"71","SF9_W21-C16","SF09","Winter",2021,2021-12-13,2021-12-17,"Y","deer","F","adult",1,1,2,5.02835369110107,1.58185660839081,0,5.49251699447632,3.43398714065552,6.04263305664062,0.607890427112579
"72","SF9_W21-C18","SF09","Winter",2021,2021-12-21,2021-12-22,"Y","deer","F","adult",1,2,3,8.00823593139648,3.57429957389832,5.46089315414429,3.43398714065552,0,4.90648937225342,0.552641689777374
"74","SF9_S22-C04","SF09","Summer",2022,2022-05-07,2022-05-12,"Y","deer","F","adult",0,1,1,3.73775601387024,0.452904731035233,3.43398714065552,5.39091157913208,4.82585620880127,0,0.590145289897919
"77","SM6_S22-C06","SM06","Summer",2022,2022-05-25,2022-05-27,"Y","deer","M","adult",2,2,4,2.70677375793457,0.546670436859131,3.43398714065552,7.13653516769409,0,6.74468088150024,0.602913081645966
"81","SM6_S22-C10","SM06","Summer",2022,2022-06-06,2022-06-08,"Y","deer","UNK","neonate",0,1,1,15.0630779266357,2.89174604415894,5.38143110275269,4.22071361541748,4.85420894622803,0,0.375989019870758
"82","SF9_S22-C13","SF09","Summer",2022,2022-06-07,2022-06-09,"Y","deer","UNK","neonate",0,1,1,8.14040470123291,2.2890408039093,3.43398714065552,3.77106761932373,0,6.3846755027771,0.3843814432621
"83","SM6_S22-C11","SM06","Summer",2022,2022-06-09,2022-06-12,"Y","deer","UNK","neonate",0,0,0,4.15086269378662,1.80787658691406,4.85420894622803,4.82585620880127,0,5.76802206039429,0.467954963445663
"84","SM6_S22-C13","SM06","Summer",2022,2022-06-15,2022-06-16,"Y","deer","UNK","neonate",0,0,0,3.54612421989441,0.703006148338318,3.43398714065552,5.48479700088501,0,4.90648937225342,0.594730257987976
"85","SF9_S22-C18","SF09","Summer",2022,2022-06-18,2022-06-20,"Y","deer","UNK","neonate",0,1,1,13.298002243042,2.67326188087463,3.43398714065552,3.43398714065552,4.56297588348389,0,0.416999846696854
"86","SF9_S22-C19","SF09","Summer",2022,2022-06-20,2022-06-21,"Y","deer","F","adult",0,1,1,13.1495313644409,3.1764190196991,6.24322891235352,4.22071361541748,0,3.77106761932373,0.369216352701187
"90","SF9_S22-C23","SF09","Summer",2022,2022-06-27,2022-07-01,"Y","deer","UNK","neonate",1,1,2,4.23893022537231,0.339351832866669,3.43398714065552,6.03493881225586,4.69287443161011,0,0.545386254787445
