"","cluster_id","cougar_id","Season","Year","form_date","inv_date","carcass_found","species","sex","age","marrow_color","marrow_texture","body_cond","deer","pig","forest_dist","grass_dist","shrub_dist","riparian_dist","NDVI"
"91","SM6_S22-C21","SM06","Summer",2022,2022-07-13,2022-07-16,"Y","deer","F","adult",1,2,3,3.4884045124054,0.265022367238998,3.43398714065552,6.58752632141113,3.43398714065552,0,0.655349314212799
"95","SF9_W22-10-13","SF09","Winter",2022,2022-10-13,2022-11-06,"Y","deer","M","adult",1,2,3,6.43467283248901,0.620329797267914,0,4.22071361541748,3.43398714065552,3.77106761932373,0.52854710817337
"96","SF9_W22-10-21","SF09","Winter",2022,2022-10-21,2022-11-10,"Y","deer","UNK","adult",0,1,1,15.192645072937,6.78119993209839,5.36191177368164,3.43398714065552,3.43398714065552,0,0.364091366529465
"97","SM6_W22-10-23","SM06","Winter",2022,2022-10-23,2022-11-10,"Y","deer","UNK","adult",0,1,1,15.192645072937,6.78119993209839,5.36191177368164,3.43398714065552,3.43398714065552,0,0.364091366529465
"98","SF9_W22-10-25","SF09","Winter",2022,2022-10-25,2022-11-06,"Y","deer","UNK","neonate",0,0,0,5.04878711700439,4.09216022491455,5.17007780075073,5.13994073867798,0,6.73522806167603,0.500805795192719
"99","SF9_W22-10-28","SF09","Winter",2022,2022-10-27,2022-11-04,"Y","deer","UNK","neonate",0,0,0,4.89661931991577,1.59776198863983,0,6.18360328674316,3.43398714065552,6.51495885848999,0.558094322681427
"100","SF9_W22-C01","SF09","Winter",2022,2022-10-31,2022-11-06,"Y","deer","UNK","neonate",0,0,0,6.73533010482788,3.42607450485229,4.82585620880127,4.11087369918823,3.43398714065552,0,0.414891749620438
"101","SF9_W22-C02","SF09","Winter",2022,2022-11-02,2022-11-05,"Y","deer","M","adult",0,1,1,5.17268800735474,3.29158854484558,5.26317596435547,5.13994073867798,0,6.59768199920654,0.475980699062347
"102","SF9_W22-C03","SF09","Winter",2022,2022-11-07,2022-11-08,"Y","deer","F","adult",1,2,3,11.9561529159546,7.38372993469238,5.21212148666382,3.43398714065552,0,6.41092109680176,0.405533730983734
"103","SF9_W22-C07","SF09","Winter",2022,2022-11-18,2022-11-20,"Y","deer","M","adult",0,1,1,11.7863969802856,6.57186508178711,5.25089359283447,3.77106761932373,0,6.72688865661621,0.403127044439316
"104","SF9_W22-C08","SF09","Winter",2022,2022-11-21,2022-11-23,"Y","deer","F","neonate",1,2,3,11.7808952331543,5.03744792938232,4.82585620880127,3.77106761932373,0,6.35832929611206,0.44213804602623
"105","SF9_W22-C09","SF09","Winter",2022,2022-11-27,2022-11-28,"Y","deer","UNK","neonate",0,0,0,5.21075201034546,2.42668223381042,4.22071361541748,4.11087369918823,0,6.1478066444397,0.499202132225037
"107","SF9_W22-C13","SF09","Winter",2022,2022-12-23,2023-01-01,"Y","deer","F","adult",0,0,0,15.9671325683594,3.27802491188049,4.51085948944092,3.77106761932373,3.43398714065552,0,0.407369136810303
"108","SF9_W22-C12","SF09","Winter",2022,2022-12-23,2023-01-03,"Y","deer","UNK","fawn",0,0,0,14.5648889541626,3.0905556678772,3.77106761932373,3.77106761932373,0,4.82585620880127,0.405332565307617
"109","SF9_W22-C14","SF09","Winter",2022,2022-12-27,2023-01-01,"Y","deer","F","adult",1,2,3,11.9301414489746,2.6434600353241,0,3.77106761932373,5.25089359283447,5.39091157913208,0.438481897115707
"110","SF9_W22-C15","SF09","Winter",2022,2022-12-29,2023-01-01,"Y","deer","F","fawn",0,1,1,14.2362871170044,3.69778633117676,4.51085948944092,0,5.21212148666382,5.19849681854248,0.391495764255524
"111","SM6_W22-C25","SM06","Winter",2022,2022-12-31,2023-01-02,"Y","deer","F","adult",0,0,0,13.7020721435547,4.40967702865601,4.45263433456421,5.01727962493896,0,5.03676176071167,0.470560818910599
"112","SF9_W22-C16","SF09","Winter",2022,2022-12-31,2023-01-02,"Y","deer","UNK","fawn",0,0,0,15.662878036499,13.4415683746338,6.69552040100098,0,4.69287443161011,4.51085948944092,0.361173331737518
"113","SF9_W22-C18","SF09","Winter",2022,2023-01-02,2023-01-03,"Y","deer","F","",2,2,4,14.5119276046753,11.1607732772827,6.29495716094971,0,5.95373010635376,3.43398714065552,0.356670618057251
"114","SF9_W22-C20","SF09","Winter",2022,2023-01-04,2023-01-07,"Y","deer","UNK","fawn",0,0,0,12.519362449646,2.59946322441101,0,4.11087369918823,5.13994073867798,5.35185813903809,0.437090426683426
"115","SF9_W22-C23","SF09","Winter",2022,2023-01-08,2023-01-13,"Y","deer","F","adult",1,2,3,12.9950408935547,9.56207370758057,6.17586708068848,0,5.64904260635376,5.65460968017578,0.397480726242065
"116","SM6_W22-C29","SM06","Winter",2022,2023-01-09,2023-01-13,"Y","deer","F","fawn",0,0,0,4.68461942672729,2.0777792930603,3.43398714065552,5.90589761734009,0,6.6149730682373,0.556369662284851
"117","SF9_W22-C25","SF09","Winter",2022,2023-01-10,2023-01-13,"Y","deer","F","yearling",0,2,2,10.9754800796509,3.18505477905273,0,4.69287443161011,5.17007780075073,6.17781257629395,0.438966155052185
"118","SF9_W22-C27","SF09","Winter",2022,2023-01-15,2023-01-18,"Y","deer","M","yearling",0,1,1,7.58905792236328,1.02303147315979,4.11087369918823,0,4.56297588348389,6.74530506134033,0.448590844869614
"120","SF9_W22-C32","SF09","Winter",2022,2023-01-24,2023-01-26,"Y","deer","F","adult",0,1,1,15.2876739501953,6.0053014755249,5.36191177368164,3.43398714065552,5.01727962493896,0,0.383890360593796
"121","SF9_W22-C33","SF09","Winter",2022,2023-01-28,2023-01-31,"Y","deer","F","adult",0,1,1,11.9195022583008,1.74643230438232,4.90648937225342,0,4.11087369918823,6.34600448608398,0.427241623401642
"122","SF9_S23-C06","SF09","Summer",2022,2023-05-05,2023-05-10,"Y","deer","UNK","neonate",1,2,3,6.39832305908203,2.01437520980835,0,5.36191177368164,3.77106761932373,4.82585620880127,0.513817429542542
"123","SF9_S23-C07","SF09","Summer",2022,2023-05-10,2023-05-10,"Y","deer","UNK","neonate",0,1,1,13.8451910018921,6.14021253585815,6.1114673614502,4.51085948944092,3.43398714065552,0,0.426870733499527
"124","SF9_S23-C00","SF09","Summer",2022,2023-04-25,2023-05-11,"Y","deer","M","adult",1,2,3,3.44499373435974,2.02977156639099,4.51085948944092,4.82585620880127,0,6.70910978317261,0.452092736959457
"125","SF9_S23-C09","SF09","Summer",2022,2023-05-11,2023-05-12,"Y","deer","UNK","neonate",0,0,0,4.28181076049805,1.52588760852814,3.43398714065552,3.43398714065552,0,4.69287443161011,0.549270451068878
"126","SF9_S23-2P","SF09","Summer",2022,2023-05-13,2023-05-13,"Y","deer","UNK","neonate",0,0,0,11.864372253418,6.3353271484375,5.89575576782227,0,3.77106761932373,3.43398714065552,0.390671402215958
"129","SF9_S23-C11","SF09","Summer",2022,2023-05-16,2023-05-17,"Y","deer","F","adult",2,2,4,8.45450782775879,1.54623520374298,0,4.69287443161011,4.11087369918823,4.11087369918823,0.491685807704926
"130","SF9_S23-C13","SF09","Summer",2022,2023-05-19,2023-05-20,"Y","deer","UNK","neonate",0,1,1,4.51377868652344,2.34638738632202,5.01727962493896,4.82585620880127,0,4.90648937225342,0.510339856147766
"133","SF9_S23-C16","SF09","Summer",2022,2023-05-24,2023-05-26,"Y","deer","UNK","neonate",0,1,1,3.13510131835938,0.54468846321106,3.77106761932373,5.36191177368164,0,5.73614931106567,0.517402350902557
"134","SF9_S23-C15","SF09","Summer",2022,2023-05-22,2023-05-27,"Y","deer","UNK","neonate",0,2,2,3.8365421295166,3.22813820838928,0,3.43398714065552,3.43398714065552,5.38143110275269,0.535426497459412
"135","SF9_S23-C18","SF09","Summer",2022,2023-05-26,2023-05-28,"Y","deer","UNK","neonate",1,2,3,13.3809881210327,4.46362590789795,5.64904260635376,4.11087369918823,0,3.43398714065552,0.432028502225876
"136","SF9_S23-C20","SF09","Summer",2022,2023-05-30,2023-06-02,"Y","deer","F","adult",1,2,3,14.8755493164062,2.44154453277588,4.85420894622803,0,4.11087369918823,3.43398714065552,0.376590967178345
"137","SF9_S23-C28","SF09","Summer",2022,2023-06-18,2023-06-19,"Y","deer","UNK","neonate",0,0,0,4.60942125320435,1.22122859954834,4.69287443161011,5.39091157913208,0,4.22071361541748,0.487557977437973
"141","SF9_S23-C22","SF09","Summer",2022,2023-06-04,2023-06-24,"Y","deer","F","adult",1,2,3,4.94642162322998,1.69869101047516,5.03676176071167,4.51085948944092,0,4.22071361541748,0.42205023765564
"142","SF9_S23-C30","SF09","Summer",2022,2023-06-24,2023-06-25,"Y","deer","UNK","neonate",1,2,3,12.5758790969849,5.99427461624146,5.78536128997803,4.11087369918823,0,4.45263433456421,0.396182537078857
"143","SF9_S23-C31","SF09","Summer",2022,2023-06-25,2023-06-26,"Y","deer","UNK","neonate",1,2,3,14.3069381713867,3.21551537513733,4.82585620880127,4.22071361541748,4.11087369918823,0,0.402379363775253
"144","SF9_S23-C32","SF09","Summer",2022,2023-06-26,2023-06-27,"Y","deer","UNK","neonate",0,0,0,9.14788436889648,3.15397262573242,5.19849681854248,4.45263433456421,0,3.43398714065552,0.469983160495758
"145","SF9_S23-C34","SF09","Summer",2022,2023-06-27,2023-06-28,"Y","deer","UNK","neonate",0,0,0,3.63584995269775,1.44769251346588,0,4.90648937225342,3.77106761932373,6.20611763000488,0.494043678045273
"146","SF9_S23-C37","SF09","Summer",2022,2023-06-29,2023-07-01,"Y","deer","UNK","neonate",0,1,1,6.63589286804199,2.00918459892273,4.51085948944092,4.45263433456421,3.43398714065552,0,0.528943121433258
"147","SF9_S23-C38","SF09","Summer",2022,2023-06-30,2023-07-03,"Y","deer","UNK","neonate",0,1,1,13.8179750442505,6.06767511367798,6.15395402908325,4.22071361541748,3.77106761932373,0,0.395368933677673
"148","SF9_S23-C40","SF09","Summer",2022,2023-07-02,2023-07-03,"Y","deer","UNK","neonate",0,0,0,14.2934656143188,5.9967246055603,6.04263305664062,3.43398714065552,4.22071361541748,0,0.377682894468307
"149","SF9_S23-C41","SF09","Summer",2022,2023-07-03,2023-07-04,"Y","deer","UNK","neonate",0,2,2,14.5971336364746,2.22417831420898,5.21212148666382,0,3.77106761932373,3.43398714065552,0.382064789533615
"150","SF9_S23-C42","SF09","Summer",2022,2023-07-04,2023-07-05,"Y","deer","UNK","neonate",0,0,0,13.7626276016235,3.66799521446228,3.43398714065552,3.43398714065552,4.51085948944092,0,0.362542241811752
"151","SF9_S23-C44","SF09","Summer",2022,2023-07-07,2023-07-08,"Y","deer","F","adult",2,2,4,12.2145709991455,7.98673963546753,6.63402795791626,3.43398714065552,0,3.43398714065552,0.328805804252625
"152","SF9_S23-C43","SF09","Summer",2022,2023-07-07,2023-07-10,"Y","deer","UNK","neonate",0,0,0,14.8118467330933,4.23886108398438,5.55032062530518,4.51085948944092,0,3.43398714065552,0.372449100017548
"153","SF9_S23-C47","SF09","Summer",2022,2023-07-13,2023-07-16,"Y","deer","UNK","neonate",1,1,2,14.7987957000732,2.66248655319214,3.43398714065552,3.77106761932373,0,3.77106761932373,0.372528791427612
"154","SF9_S23-C48","SF09","Summer",2022,2023-07-16,2023-07-17,"Y","deer","M","adult",1,2,3,14.2295055389404,3.79291033744812,5.51498556137085,0,5.09101629257202,3.43398714065552,0.377207309007645
"156","SF9_S23-C49","SF09","Summer",2022,2023-07-20,2023-07-21,"Y","deer","UNK","neonate",1,2,3,6.13012742996216,1.90718901157379,5.09101629257202,0,3.43398714065552,5.03676176071167,0.438523381948471
"157","SF9_S23-C50","SF09","Summer",2022,2023-07-22,2023-07-23,"Y","deer","UNK","neonate",0,1,1,4.66862058639526,1.47412848472595,0,3.77106761932373,3.43398714065552,4.11087369918823,0.429403901100159
"158","SF9_S23-C52","SF09","Summer",2022,2023-07-26,2023-07-26,"Y","deer","F","fawn",0,1,1,11.2806549072266,8.72147464752197,5.78536128997803,3.43398714065552,0,3.77106761932373,0.356266111135483
"159","SF9_W23-1013","SF09","Winter",2022,2023-10-13,2023-11-02,"Y","deer","M","adult",2,2,4,11.9624166488647,8.37776947021484,4.85420894622803,5.01727962493896,0,6.41092109680176,0.461706966161728
"160","SF9_W23-1016","SF09","Winter",2022,2023-10-16,2023-11-02,"Y","deer","F","adult",1,2,3,5.39268636703491,1.79445230960846,5.25089359283447,5.62613201141357,0,6.00015735626221,0.525848507881165
"161","SF9_W23-1025","SF09","Winter",2022,2023-10-25,2023-11-03,"Y","deer","UNK","fawn",0,1,1,14.1535682678223,2.98765063285828,4.79579067230225,5.13994073867798,3.43398714065552,0,0.435822457075119
"162","SF9_W23-C01","SF09","Winter",2022,2023-11-02,2023-11-03,"Y","deer","M","neonate",1,2,3,10.9691333770752,1.97423577308655,4.69287443161011,4.11087369918823,4.22071361541748,0,0.464738070964813
"163","SF9_W23-1028","SF09","Winter",2022,2023-10-28,2023-11-05,"Y","deer","UNK","neonate",1,2,3,4.7884087562561,0.245044842362404,0,6.12675189971924,3.43398714065552,6.29954290390015,0.560596227645874
"164","SF9_W23-C02","SF09","Winter",2022,2023-11-04,2023-11-06,"Y","deer","F","fawn",0,1,1,15.0748023986816,6.79353332519531,5.59593057632446,4.11087369918823,0,3.43398714065552,0.418763428926468
"165","SF9_W23-1019","SF09","Winter",2022,2023-10-19,2023-11-07,"Y","deer","UNK","neonate",1,2,3,4.47952651977539,0.632739782333374,0,5.91910743713379,4.22071361541748,6.03493881225586,0.652762949466705
"166","SF9_W23-C03","SF09","Winter",2022,2023-11-07,2023-11-08,"Y","deer","F","adult",1,2,3,6.64878606796265,4.06604909896851,5.19849681854248,0,4.11087369918823,5.26317596435547,0.467732846736908
"167","SF9_W23-C04","SF09","Winter",2022,2023-11-11,2023-11-11,"Y","deer","F","adult",0,2,2,14.3142356872559,17.4191341400146,6.20611763000488,0,6.1025185585022,3.77106761932373,0.39002051949501
"168","SF9_W23-C07","SF09","Winter",2022,2023-11-16,2023-11-17,"Y","deer","M","adult",0,1,1,12.332633972168,13.0596618652344,4.11087369918823,4.22071361541748,0,6.23636960983276,0.366222023963928
"169","SF9_W23-C09","SF09","Winter",2022,2023-11-21,2023-11-21,"Y","deer","F","adult",1,2,3,11.4797582626343,9.99469566345215,5.09101629257202,0,3.43398714065552,6.77023553848267,0.403814971446991
"170","SF9_W23-C14","SF09","Winter",2022,2023-12-06,2023-12-07,"Y","deer","UNK","fawn",0,0,0,15.3870391845703,3.72628831863403,3.43398714065552,4.22071361541748,0,3.43398714065552,0.428248941898346
"171","SF9_W23-C15","SF09","Winter",2022,2023-12-06,2023-12-11,"Y","deer","F","adult",0,1,1,16.4906101226807,3.16018915176392,5.01727962493896,3.43398714065552,0,3.43398714065552,0.396989047527313
"172","SF9_W23-C19","SF09","Winter",2022,2023-12-19,2023-12-20,"Y","deer","F","fawn",0,0,0,14.7875356674194,5.13854217529297,5.69704246520996,0,5.01727962493896,3.43398714065552,0.364869117736816
